2017-04-18 05:14:36,418 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2017-04-18 05:14:36.418082'); args=['auth', u'0001_initial', u'2017-04-18 05:14:36.418082']
2017-04-18 05:14:36,466 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` MODIFY `name` varchar(255) NOT NULL; (params [])
2017-04-18 05:14:37,108 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.642) ALTER TABLE `auth_permission` MODIFY `name` varchar(255) NOT NULL; args=[]
2017-04-18 05:14:37,109 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,110 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0002_alter_permission_name_max_length', '2017-04-18 05:14:37.110143'); args=['auth', u'0002_alter_permission_name_max_length', u'2017-04-18 05:14:37.110143']
2017-04-18 05:14:37,149 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,150 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0003_alter_user_email_max_length', '2017-04-18 05:14:37.149747'); args=['auth', u'0003_alter_user_email_max_length', u'2017-04-18 05:14:37.149747']
2017-04-18 05:14:37,182 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,183 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0004_alter_user_username_opts', '2017-04-18 05:14:37.182797'); args=['auth', u'0004_alter_user_username_opts', u'2017-04-18 05:14:37.182797']
2017-04-18 05:14:37,216 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,216 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0005_alter_user_last_login_null', '2017-04-18 05:14:37.216360'); args=['auth', u'0005_alter_user_last_login_null', u'2017-04-18 05:14:37.216360']
2017-04-18 05:14:37,243 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,244 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0006_require_contenttypes_0002', '2017-04-18 05:14:37.243591'); args=['auth', u'0006_require_contenttypes_0002', u'2017-04-18 05:14:37.243591']
2017-04-18 05:14:37,284 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,285 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0007_alter_validators_add_error_messages', '2017-04-18 05:14:37.285028'); args=['auth', u'0007_alter_validators_add_error_messages', u'2017-04-18 05:14:37.285028']
2017-04-18 05:14:37,330 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:37,331 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0008_alter_user_username_max_length', '2017-04-18 05:14:37.330413'); args=['auth', u'0008_alter_user_username_max_length', u'2017-04-18 05:14:37.330413']
